Measurement file name;pun213703(lying down).scco
Measurement name;Measurement;;;Measurement;;;Measurement;;;Measurement;;
Date;3/1/2022;;;3/1/2022;;;3/1/2022;;;3/1/2022;;
Time;1:23:56 PM;;;1:23:56 PM;;;1:23:56 PM;;;1:23:56 PM;;
Channel name;S/N 1947158622;;;S/N 1947158622;;;S/N 1948131903;;;S/N 1948131903;;
Unit;bar;;;°C;;;L/min;;;°C;;
Channel index;Channel A1;;;Channel A2;;;Channel A3;;;Channel A4;;
Time [s] / Points;MIN value;MAX value;ACT value;MIN value;MAX value;ACT value;MIN value;MAX value;ACT value;MIN value;MAX value;ACT value
00:00:01.550;112.290;118.970;118.370;28.441;28.441;28.441;22.301;22.301;22.301;30.999;30.999;30.999
00:00:01.560;119.850;123.170;120.250;28.441;28.441;28.441;22.301;22.301;22.301;30.999;30.999;30.999
00:00:01.570;116.170;120.170;121.290;28.441;28.441;28.441;22.301;22.301;22.301;30.999;30.999;30.999
00:00:01.580;122.690;128.610;119.250;28.505;28.505;28.505;22.301;22.301;22.301;30.999;30.999;30.999
00:00:01.590;109.850;119.250;120.810;28.505;28.505;28.505;22.301;22.301;22.301;30.999;30.999;30.999
00:00:01.600;122.090;125.290;120.570;28.505;28.505;28.505;23.130;23.130;23.130;30.999;30.999;30.999
00:00:01.610;116.050;120.890;122.290;28.505;28.505;28.505;23.130;23.130;23.130;30.999;30.999;30.999
00:00:01.620;123.890;129.010;122.170;28.505;28.505;28.505;23.130;23.130;23.130;30.999;30.999;30.999
00:00:01.630;109.330;118.370;116.570;28.505;28.505;28.505;23.130;23.130;23.130;30.999;30.999;30.999
00:00:01.640;118.050;121.210;120.570;28.505;28.505;28.505;23.130;23.130;23.130;30.999;30.999;30.999
00:00:01.650;118.370;123.090;124.290;28.505;28.505;28.505;23.843;23.843;23.843;30.999;30.999;30.999
00:00:01.660;125.290;129.410;122.770;28.505;28.505;28.505;23.843;23.843;23.843;30.999;30.999;30.999
00:00:01.670;110.890;119.370;117.450;28.505;28.505;28.505;23.843;23.843;23.843;30.999;30.999;30.999
00:00:01.680;119.170;122.570;119.850;28.505;28.505;28.505;23.843;23.843;23.843;30.999;30.999;30.999
00:00:01.690;115.170;120.450;122.890;28.505;28.505;28.505;23.843;23.843;23.843;30.999;30.999;30.999
00:00:01.700;122.890;130.890;123.490;28.505;28.505;28.505;22.943;22.943;22.943;30.999;30.999;30.999
00:00:01.710;111.690;119.650;118.770;28.505;28.505;28.505;22.943;22.943;22.943;30.999;30.999;30.999
00:00:01.720;120.250;122.370;120.050;28.505;28.505;28.505;22.943;22.943;22.943;30.999;30.999;30.999
00:00:01.730;116.250;120.250;121.610;28.505;28.505;28.505;22.943;22.943;22.943;30.999;30.999;30.999
00:00:01.740;123.370;128.210;120.250;28.505;28.505;28.505;22.943;22.943;22.943;30.999;30.999;30.999
00:00:01.750;110.890;118.570;120.050;28.505;28.505;28.505;22.463;22.463;22.463;30.999;30.999;30.999
00:00:01.760;120.570;124.690;118.970;28.505;28.505;28.505;22.463;22.463;22.463;30.999;30.999;30.999
00:00:01.770;116.170;121.810;123.290;28.505;28.505;28.505;22.463;22.463;22.463;30.999;30.999;30.999
00:00:01.780;123.170;128.410;119.850;28.505;28.505;28.505;22.463;22.463;22.463;30.999;30.999;30.999
00:00:01.790;109.130;115.970;117.370;28.505;28.505;28.505;22.463;22.463;22.463;30.999;30.999;30.999
00:00:01.800;119.050;122.690;121.690;28.505;28.505;28.505;23.040;23.040;23.040;30.999;30.999;30.999
00:00:01.810;118.250;123.370;123.370;28.505;28.505;28.505;23.040;23.040;23.040;30.999;30.999;30.999
00:00:01.820;122.690;128.930;119.050;28.505;28.505;28.505;23.040;23.040;23.040;30.999;30.999;30.999
00:00:01.830;110.690;117.170;118.770;28.505;28.505;28.505;23.040;23.040;23.040;30.999;30.999;30.999
00:00:01.840;119.570;122.090;118.450;28.505;28.505;28.505;23.040;23.040;23.040;30.999;30.999;30.999
00:00:01.850;114.970;121.210;123.490;28.505;28.505;28.505;23.861;23.861;23.861;30.999;30.999;30.999
00:00:01.860;123.690;130.890;123.690;28.505;28.505;28.505;23.861;23.861;23.861;30.999;30.999;30.999
00:00:01.870;110.970;119.570;119.850;28.505;28.505;28.505;23.861;23.861;23.861;30.999;30.999;30.999
00:00:01.880;120.250;123.090;118.770;28.505;28.505;28.505;23.861;23.861;23.861;30.999;30.999;30.999
00:00:01.890;115.650;120.810;122.370;28.505;28.505;28.505;23.861;23.861;23.861;30.999;30.999;30.999
00:00:01.900;121.290;127.810;117.970;28.505;28.505;28.505;23.273;23.273;23.273;30.999;30.999;30.999
00:00:01.910;112.170;119.370;121.010;28.505;28.505;28.505;23.273;23.273;23.273;30.999;30.999;30.999
00:00:01.920;119.050;123.970;117.650;28.505;28.505;28.505;23.273;23.273;23.273;30.999;30.999;30.999
00:00:01.930;115.970;122.490;124.090;28.505;28.505;28.505;23.273;23.273;23.273;30.999;30.999;30.999
00:00:01.940;120.810;128.410;116.850;28.505;28.505;28.505;23.273;23.273;23.273;30.999;30.999;30.999
00:00:01.950;109.330;116.650;118.370;28.505;28.505;28.505;22.200;22.200;22.200;30.999;30.999;30.999
00:00:01.960;119.250;123.170;120.810;28.505;28.505;28.505;22.200;22.200;22.200;30.999;30.999;30.999
00:00:01.970;117.770;123.170;123.170;28.505;28.505;28.505;22.200;22.200;22.200;30.999;30.999;30.999
00:00:01.980;119.450;128.210;115.370;28.505;28.505;28.505;22.200;22.200;22.200;30.999;30.999;30.999
